mac         |echo |rssi (dbm)|count|scan time   |HH:MM:SS.MMMMMM
0C2A6F8A9BF4|2    |-69       |AF   |31536838    |10:16:44.236478
0C2A6F8A9BF4|2    |-69       |AF   |31536838    |10:16:45.246917
0C2A6F8A9BF4|2    |-69       |AF   |31536838    |10:16:46.308310
0C2A6F8A9BF4|2    |-69       |AF   |31536838    |10:16:47.274919
0C2A6F8A9BF4|2    |-69       |AF   |31536838    |10:16:48.275876
0C2A6F8A9BF4|2    |-69       |AF   |31536838    |10:16:49.286696
0C2A6F8A9BF4|2    |-69       |AF   |31536838    |10:16:50.294188
0C2A6F8A9BF4|2    |-69       |AF   |31536838    |10:16:51.304039
0C2A6F8A9BF4|2    |-69       |AF   |31536838    |10:16:52.314204
0C2A6F8A9BF4|2    |-69       |AF   |31536838    |10:16:53.326867
0C2A6F8A9BF4|2    |-69       |AF   |31536838    |10:16:54.333026
0C2A6F8A9BF4|2    |-69       |AF   |31536838    |10:16:55.338144
0C2A6F8A9BF4|2    |-69       |AF   |31536838    |10:16:56.344562
0C2A6F8A9BF4|2    |-69       |AF   |31536838    |10:16:57.392121
0C2A6F8A9BF4|2    |-69       |AF   |31536838    |10:16:58.364464
0C2A6F8A9BF4|2    |-69       |AF   |31536838    |10:16:59.372770
0C2A6F8A9BF4|2    |-69       |AF   |31536838    |10:17:00.379780
0C2A6F8A9BF4|2    |-69       |AF   |31536838    |10:17:01.384177
0C2A6F8A9BF4|2    |-76       |B9   |31536865    |10:17:02.393191
0C2A6F8A9BF4|2    |-76       |B9   |31536865    |10:17:03.447423
0C2A6F8A9BF4|2    |-76       |B9   |31536865    |10:17:04.420982
0C2A6F8A9BF4|2    |-76       |B9   |31536865    |10:17:05.431800
0C2A6F8A9BF4|2    |-85       |BB   |31536869    |10:17:06.433890
0C2A6F8A9BF4|2    |-85       |BB   |31536869    |10:17:07.436132
0C2A6F8A9BF4|2    |-85       |BB   |31536869    |10:17:08.448764
0C2A6F8A9BF4|2    |-85       |BB   |31536869    |10:17:09.503895
0C2A6F8A9BF4|2    |-85       |BB   |31536869    |10:17:10.462633
0C2A6F8A9BF4|2    |-85       |BB   |31536869    |10:17:11.491193
0C2A6F8A9BF4|2    |-85       |BB   |31536869    |10:17:12.482152
0C2A6F8A9BF4|2    |-81       |BD   |31536876    |10:17:13.487801
0C2A6F8A9BF4|2    |-81       |BD   |31536876    |10:17:14.490413
0C2A6F8A9BF4|2    |-79       |BE   |31536878    |10:17:15.497169
0C2A6F8A9BF4|2    |-79       |BE   |31536878    |10:17:16.508428
0C2A6F8A9BF4|2    |-71       |BF   |31536880    |10:17:17.519230
0C2A6F8A9BF4|2    |-71       |BF   |31536880    |10:17:18.530874
0C2A6F8A9BF4|2    |-71       |BF   |31536880    |10:17:19.535804
0C2A6F8A9BF4|2    |-70       |C0   |31536883    |10:17:20.580473
0C2A6F8A9BF4|2    |-70       |C0   |31536883    |10:17:21.548607
0C2A6F8A9BF4|2    |-70       |C1   |31536885    |10:17:22.557773
